participant_no,week no,url,query,data,type,task,goal,source,content,format
103,Week 4,https://www.google.com/search?q=middle eastern jewish food,middle eastern jewish food,Q,ideas/options,option seeking,plan,,,
103,Week 4,https://www.google.com/search?q=jewish kibbeh,jewish kibbeh,Q,factual,option seeking,plan,,,
103,Week 4,https://www.google.com/search?q=beginner indian foods to make,beginner indian foods to make,Q,ideas/options,option seeking,plan,,,
103,Week 4,https://www.google.com/search?q=fusion food recipes,fusion food recipes,Q,ideas/options,option seeking,plan,,,
103,Week 4,https://www.google.com/search?q=trending recipes 2024,trending recipes 2024,Q,ideas/options,option seeking,plan,,,
107,Week 1,https://www.google.com/search?q=effects of not snacking,effects of not snacking,Q,outcome,learn,motivational reasoning,,,
107,Week 1,https://www.google.com/search?q=effects of not snacking,effects of not snacking,Q,outcome,learn,motivational reasoning,,,
107,Week 1,https://www.google.com/search?q=effects of not snacking,effects of not snacking,Q,outcome,learn,motivational reasoning,,,
107,Week 1,https://www.google.com/search?q=is it better to eat breakfast or fast until lunch,is it better to eat breakfast or fast until lunch,Q,comparative,evaluate,decision making,,,
107,Week 1,https://www.google.com/search?q=is it better to eat breakfast or fast until lunch,is it better to eat breakfast or fast until lunch,Q,comparative,evaluate,decision making,,,
107,Week 1,https://www.google.com/search?q=ways to avoid snacking,ways to avoid snacking,Q,ideas/options,barrier,plan,,,
107,Week 1,https://www.google.com/search?q=ways to avoid snacking,ways to avoid snacking,Q,ideas/options,barrier,plan,,,
107,Week 1,https://www.google.com/search?q=is eating past a certain time bad,is eating past a certain time bad,Q,normative,evaluate,decision making,,,
107,Week 1,https://www.google.com/search?q=is eating past a certain time bad,is eating past a certain time bad,Q,normative,evaluate,decision making,,,
107,Week 1,https://www.google.com/search?q=is eating past a certain time bad,is eating past a certain time bad,Q,normative,evaluate,decision making,,,
107,Week 1,https://www.google.com/search?q=is eating past a certain time bad,is eating past a certain time bad,Q,normative,evaluate,decision making,,,
107,Week 1,https://www.google.com/search?q=is eating past a certain time bad,is eating past a certain time bad,Q,normative,evaluate,decision making,,,
107,Week 1,https://www.google.com/search?q=is eating past a certain time bad,is eating past a certain time bad,Q,normative,evaluate,decision making,,,
107,Week 2,https://www.google.com/search?q=are midnight snacks bad for your teeth,are midnight snacks bad for your teeth,Q,normative,evaluate,decision making,,,
107,Week 2,https://www.google.com/search?q=are midnight snacks bad for your teeth,are midnight snacks bad for your teeth,Q,normative,evaluate,decision making,,,
107,Week 2,https://www.google.com/search?q=things to do when stressed,things to do when stressed,Q,ideas/options,option seeking,plan,,,
107,Week 2,https://www.google.com/search?q=things to do when stressed,things to do when stressed,Q,ideas/options,option seeking,plan,,,
107,Week 2,https://www.google.com/search?q=things to do when stressed,things to do when stressed,Q,ideas/options,option seeking,plan,,,
107,Week 2,https://www.google.com/search?q=things to do when stressed,things to do when stressed,Q,ideas/options,option seeking,plan,,,
107,Week 2,https://www.google.com/search?q=weidhts for flat stomach and abs female,weidhts for flat stomach and abs female,Q,ideas/options,learn,plan,,,
107,Week 2,https://www.google.com/search?q=shoudl you snack after working out,shoudl you snack after working out,Q,normative,evaluate,decision making,,,
107,Week 2,https://www.google.com/search?q=shoudl you snack after working out,shoudl you snack after working out,Q,normative,evaluate,decision making,,,
107,Week 2,https://www.google.com/search?q=shoudl you snack after working out,shoudl you snack after working out,Q,normative,evaluate,decision making,,,
107,Week 2,https://www.google.com/search?q=shoudl you snack after working out,shoudl you snack after working out,Q,normative,evaluate,decision making,,,
107,Week 3,https://www.google.com/search?q=snacks to eat post workout,snacks to eat post workout,Q,ideas/options,option seeking,plan,,,
107,Week 3,https://www.google.com/search?q=snacks to eat post workout,snacks to eat post workout,Q,ideas/options,option seeking,plan,,,
107,Week 3,https://www.google.com/search?q=snacks to eat post workout,snacks to eat post workout,Q,ideas/options,option seeking,plan,,,
107,Week 3,https://www.google.com/search?q=snacks to eat post workout,snacks to eat post workout,Q,ideas/options,option seeking,plan,,,
107,Week 3,https://www.google.com/search?q=best snacks to have at night,best snacks to have at night,Q,ideas/options,option seeking,plan,,,
107,Week 3,https://www.google.com/search?q=best snacks to have at night,best snacks to have at night,Q,ideas/options,option seeking,plan,,,
107,Week 3,https://www.linkedin.com/voyager/api/feed/richRecommendedEntities?q=dynamicFollowRecommendations,dynamicFollowRecommendations [0],Q,na,na,na,,,
107,Week 3,https://www.linkedin.com/voyager/api/feed/updatesV2?q=feed,feed [0],Q,na,na,na,,,
107,Week 3,https://www.google.com/search?q=benefits of eating an apple a day,benefits of eating an apple a day,Q,outcome,learn,motivational reasoning,,,
107,Week 3,https://www.google.com/search?q=benefits of eating an apple a day,benefits of eating an apple a day,Q,outcome,learn,motivational reasoning,,,
107,Week 3,https://www.google.com/search?q=is eating an apple a day good for you,is eating an apple a day good for you,Q,normative,evaluate,decision making,,,
107,Week 3,https://www.google.com/search?q=is eating an apple at night bad,is eating an apple at night bad,Q,normative,evaluate,decision making,,,
107,Week 3,https://www.google.com/search?q=is eating an apple at night bad,is eating an apple at night bad,Q,normative,evaluate,decision making,,,
108,Week 1,https://www.google.com/search?q=where to hike aorund champaign,where to hike aorund champaign,Q,ideas/options,option seeking,decision making,,,
108,Week 1,https://www.google.com/search?q=champaign walking trails safe,champaign walking trails safe,Q,ideas/options,option seeking,decision making,,,
108,Week 1,https://www.google.com/search?q=planet fitness,planet fitness,Q,utility,perform,action,,,
108,Week 1,https://www.google.com/search?q=planet fitness shy girl workout,planet fitness shy girl workout,Q,ideas/options,perform,action,,,
108,Week 1,https://www.youtube.com/redirect?q=https://gtn.io/C25KPlan,https://gtn.io/C25KPlan,Q,na,na,na,,,
108,Week 1,https://www.google.com/search?q=gmai,gmai,Q,na,na,na,,,
108,Week 1,https://www.google.com/search?q=lung capacity test,lung capacity test,Q,utility,perform,action,,,
108,Week 1,https://www.google.com/search?q=lung capacity test at home,lung capacity test at home,Q,utility,perform,action,,,
108,Week 1,https://www.google.com/search?q=spirometer,spirometer,Q,utility,perform,action,,,
108,Week 2,https://www.google.com/search?q=couch to 5k help,couch to 5k help,Q,ideas/options,logistics,plan,,,
108,Week 2,https://www.google.com/search?q=5k champaign,5k champaign,Q,factual,logistics,plan,,,
108,Week 2,https://www.google.com/search?q=couch to 5k 4 weeks,couch to 5k 4 weeks,Q,ideas/options,logistics,plan,,,
108,Week 2,https://www.google.com/search?q=couch to 5k 4 weeks,couch to 5k 4 weeks,Q,ideas/options,logistics,plan,,,
108,Week 3,https://www.google.com/search?q=running in bad weather,running in bad weather,Q,experiential,perform,plan,,,
108,Week 3,https://www.google.com/search?q=running in bad weather,running in bad weather,Q,experiential,perform,plan,,,
108,Week 3,https://www.google.com/search?q=youtube,youtube,Q,utility,perform,action,,,
108,Week 3,https://www.google.com/search?q=running form,running form,Q,factual,learn,action,,,
108,Week 3,https://www.google.com/search?q=running form,running form,Q,factual,learn,action,,,
108,Week 3,https://www.google.com/search?q=refinery champaign,refinery champaign,Q,utility,perform,action,,,
108,Week 3,https://www.google.com/search?q=refinery champaign,refinery champaign,Q,utility,perform,action,,,
108,Week 3,https://www.google.com/search?q=wikipedia,wikipedia,Q,utility,learn,plan,,,
108,Week 3,https://www.google.com/search?q=wikipedia runners high,wikipedia runners high,Q,factual,learn,plan,,,
108,Week 3,https://www.google.com/search?q=youtube runners high,youtube runners high,Q,factual,learn,motivational reasoning,,,
108,Week 3,https://www.google.com/search?q=what is runners high npr,what is runners high npr,Q,factual,learn,motivational reasoning,,,
108,Week 3,https://www.google.com/search?q=npr podcasts,npr podcasts,Q,utility,option seeking,action,,,
108,Week 3,https://www.google.com/search?q=npr podcast running,npr podcast running,Q,ideas/options,option seeking,action,,,
108,Week 3,https://www.google.com/search?q=The Runcast with John Richards,The Runcast with John Richards,Q,utility,option seeking,action,,,
108,Week 3,https://www.google.com/search?q=the hate u give wikipedia,the hate u give wikipedia,Q,na,na,na,,,
108,Week 3,https://www.google.com/search?q=the hate u give wikipedia,the hate u give wikipedia,Q,na,na,na,,,
108,Week 3,https://www.google.com/search?q=the hate u give banned,the hate u give banned,Q,na,na,na,,,
108,Week 3,https://www.google.com/search?q=the hate u give banned,the hate u give banned,Q,na,na,na,,,
108,Week 3,https://www.google.com/search?q=the hate u give challenged,the hate u give challenged,Q,na,na,na,,,
108,Week 3,https://www.google.com/search?q=the hate u give challenged ALA,the hate u give challenged ALA,Q,na,na,na,,,
108,Week 3,https://www.google.com/search?q=where has the hate u give been banned,where has the hate u give been banned,Q,na,na,na,,,
108,Week 3,https://www.google.com/search?q=all american boys,all american boys,Q,na,na,na,,,
108,Week 3,https://www.google.com/search?q=dear martin book,dear martin book,Q,na,na,na,,,
108,Week 3,https://www.google.com/search?q=all american boys,all american boys,Q,na,na,na,,,
108,Week 3,https://www.google.com/search?q=all american boys goodreads,all american boys goodreads,Q,na,na,na,,,
108,Week 4,https://www.google.com/search?q=youtube,youtube,Q,utility,perform,action,,,
108,Week 4,https://www.google.com/search?q=running motivation books,running motivation books,Q,ideas/options,option seeking,motivational reasoning,,,
108,Week 4,https://www.google.com/search?q=running motivation books,running motivation books,Q,ideas/options,option seeking,motivational reasoning,,,
108,Week 4,https://www.google.com/search?q=champaign marathon 2024,champaign marathon 2024,Q,factual,logistics,plan,,,
108,Week 4,https://www.google.com/search?q=illinois marathon path,illinois marathon path,Q,factual,logistics,plan,,,
108,Week 4,https://www.google.com/search?q=when to start weightlifting,when to start weightlifting,Q,normative,learn,plan,,,
108,Week 4,https://www.google.com/search?q=how much water should i drink to lose weight,how much water should i drink to lose weight,Q,normative,learn,plan,,,
108,Week 4,https://www.google.com/search?q=90oz to cup,90oz to cup,Q,utility,logistics,action,,,
108,Week 4,https://www.google.com/search?q=how much water should i drink to lose weight,how much water should i drink to lose weight,Q,normative,learn,plan,,,
108,Week 4,https://www.google.com/search?q=npr david goggins,npr david goggins,Q,utility,option seeking,motivational reasoning,,,
108,Week 4,https://www.google.com/search?q=npr weightlifting podcast,npr weightlifting podcast,Q,ideas/options,option seeking,motivational reasoning,,,
109,Week 1,https://www.google.com/search?q=healthy recipes,healthy recipes,Q,ideas/options,option seeking,plan,,,
109,Week 1,https://www.google.com/search?q=healthy recipes,healthy recipes,Q,ideas/options,option seeking,plan,,,
109,Week 1,https://www.google.com/search?q=healthy recipes,healthy recipes,Q,ideas/options,option seeking,plan,,,
109,Week 1,https://www.google.com/search?q=meals to meal prep,meals to meal prep,Q,ideas/options,option seeking,plan,,,
109,Week 1,https://www.google.com/search?q=how much water should i drink in a day,how much water should i drink in a day,Q,normative,learn,plan,,,
109,Week 1,https://www.google.com/search?q=how to increase water intake,how to increase water intake,Q,how-to (procedural),barrier,motivational reasoning,,,
109,Week 1,https://www.google.com/search?q=how to increase water intake,how to increase water intake,Q,how-to (procedural),barrier,motivational reasoning,,,
109,Week 1,https://www.google.com/search?q=how to increase water intake,how to increase water intake,Q,how-to (procedural),barrier,motivational reasoning,,,
109,Week 1,https://www.google.com/search?q=low impact exercises,low impact exercises,Q,ideas/options,option seeking,plan,,,
109,Week 1,https://www.google.com/search?q=low impact exercises,low impact exercises,Q,ideas/options,option seeking,plan,,,
109,Week 1,https://www.google.com/search?q=how to decrease stress when working out,how to decrease stress when working out,Q,how-to (psyc),barrier,plan,,,
109,Week 1,https://www.google.com/search?q=how to decrease stress when working out,how to decrease stress when working out,Q,how-to (psyc),barrier,plan,,,
109,Week 1,https://www.google.com/search?q=incorporating veggies into dinner,incorporating veggies into dinner,Q,ideas/options,option seeking,plan,,,
109,Week 1,https://www.google.com/search?q=making stir fry,making stir fry,Q,ideas/options,option seeking,plan,,,
109,Week 1,https://www.google.com/search?q=making stir fry,making stir fry,Q,ideas/options,option seeking,plan,,,
109,Week 1,https://www.google.com/search?q=making stir fry,making stir fry,Q,ideas/options,option seeking,plan,,,
109,Week 1,https://www.google.com/search?q=making dishes with tofu,making dishes with tofu,Q,ideas/options,option seeking,plan,,,
109,Week 1,https://www.google.com/search?q=making dishes with tofu,making dishes with tofu,Q,ideas/options,option seeking,plan,,,
109,Week 1,https://www.google.com/search?q=buddha bowl,buddha bowl,Q,ideas/options,option seeking,plan,,,
109,Week 1,https://www.google.com/search?q=buddha bowls,buddha bowls,Q,ideas/options,option seeking,plan,,,
109,Week 1,https://www.google.com/search?q=buddha bowls with tofu,buddha bowls with tofu,Q,ideas/options,option seeking,plan,,,
109,Week 1,https://www.google.com/search?q=buddha bowls with tofu,buddha bowls with tofu,Q,ideas/options,option seeking,plan,,,
109,Week 1,https://www.google.com/search?q=shrimp tacos,shrimp tacos,Q,ideas/options,option seeking,plan,,,
109,Week 1,https://www.google.com/search?q=shrimp tacos,shrimp tacos,Q,ideas/options,option seeking,plan,,,
109,Week 1,https://www.google.com/search?q=shrimp tacos health benefits,shrimp tacos health benefits,Q,factual,learn,motivational reasoning,,,
109,Week 1,https://www.google.com/search?q=shrimp tacos health benefits,shrimp tacos health benefits,Q,factual,learn,motivational reasoning,,,
109,Week 1,https://www.google.com/search?q=how stress reacts to bodies weight,how stress reacts to bodies weight,Q,mechanism,learn,plan,,,
109,Week 1,https://www.google.com/search?q=how stress reacts to bodies weight,how stress reacts to bodies weight,Q,mechanism,learn,plan,,,
109,Week 1,https://www.google.com/search?q=how stress reacts to bodies weight college students,how stress reacts to bodies weight college students,Q,mechanism,learn,plan,,,
109,Week 1,https://www.google.com/search?q=how stress reacts to bodies weight college students,how stress reacts to bodies weight college students,Q,mechanism,learn,plan,,,
109,Week 1,https://www.google.com/search?q=how stress reacts to bodies weight college students,how stress reacts to bodies weight college students,Q,mechanism,learn,plan,,,
109,Week 1,https://www.google.com/search?q=how stress reacts to bodies weight college students,how stress reacts to bodies weight college students,Q,mechanism,learn,plan,,,
109,Week 1,https://www.google.com/search?q=how to manage weight as a college student,how to manage weight as a college student,Q,how-to (procedural),learn,plan,,,
109,Week 1,https://www.google.com/search?q=how to manage weight as a college student,how to manage weight as a college student,Q,how-to (procedural),learn,plan,,,
109,Week 1,https://www.google.com/search?q=how to manage weight as a college student,how to manage weight as a college student,Q,how-to (procedural),learn,plan,,,
109,Week 1,https://www.google.com/search?q=how to manage weight as a college student,how to manage weight as a college student,Q,how-to (procedural),learn,plan,,,
109,Week 1,https://www.google.com/search?q=how to manage weight as a college student,how to manage weight as a college student,Q,how-to (procedural),learn,plan,,,
109,Week 1,https://www.google.com/search?q=how many steps should i take in a day to lose weight,how many steps should i take in a day to lose weight,Q,normative,learn,decision making,,,
109,Week 1,https://www.google.com/search?q=how many steps should i take in a day to lose weight college,how many steps should i take in a day to lose weight college,Q,normative,learn,decision making,,,
109,Week 1,https://www.google.com/search?q=how many steps should i take in a day to lose weight college,how many steps should i take in a day to lose weight college,Q,normative,learn,decision making,,,
109,Week 1,https://www.google.com/search?q=how many steps should i take in a day to lose weight college,how many steps should i take in a day to lose weight college,Q,normative,learn,decision making,,,
109,Week 1,https://www.google.com/search?q=balanced meals for college students,balanced meals for college students,Q,ideas/options,option seeking,plan,,,
109,Week 1,https://www.google.com/search?q=balanced meals for college students,balanced meals for college students,Q,ideas/options,option seeking,plan,,,
109,Week 1,https://www.google.com/search?q=can eating less cause weight gain,can eating less cause weight gain,Q,factual,learn,decision making,,,
109,Week 1,https://www.google.com/search?q=does milk cause acne,does milk cause acne,Q,factual,learn,decision making,,,
109,Week 1,https://www.google.com/search?q=does milk cause weight gain,does milk cause weight gain,Q,factual,learn,decision making,,,
109,Week 1,https://www.google.com/search?q=does milk cause weight gain,does milk cause weight gain,Q,factual,learn,decision making,,,
109,Week 2,https://www.google.com/search?q=healthy fried rice,healthy fried rice,Q,ideas/options,option seeking,plan,,,
109,Week 2,https://www.google.com/search?q=healthy fried rice,healthy fried rice,Q,ideas/options,option seeking,plan,,,
109,Week 2,https://www.google.com/search?q=roasted broccoli,roasted broccoli,Q,ideas/options,option seeking,plan,,,
109,Week 2,https://www.google.com/search?q=roasted broccoli,roasted broccoli,Q,ideas/options,option seeking,plan,,,
109,Week 2,https://www.google.com/search?q=roasted broccoli,roasted broccoli,Q,ideas/options,option seeking,plan,,,
109,Week 2,https://www.google.com/search?q=roasted broccoli,roasted broccoli,Q,ideas/options,option seeking,plan,,,
109,Week 2,https://www.google.com/search?q=fried rice recipe easy,fried rice recipe easy,Q,ideas/options,option seeking,plan,,,
109,Week 2,https://www.google.com/search?q=fried rice recipe easy,fried rice recipe easy,Q,ideas/options,option seeking,plan,,,
109,Week 2,https://www.google.com/search?q=tofu and broccoli fried rice,tofu and broccoli fried rice,Q,ideas/options,option seeking,plan,,,
109,Week 2,https://www.google.com/search?q=tofu and broccoli fried rice,tofu and broccoli fried rice,Q,ideas/options,option seeking,plan,,,
109,Week 2,https://www.google.com/search?q=tofu and broccoli fried rice,tofu and broccoli fried rice,Q,ideas/options,option seeking,plan,,,
109,Week 2,https://www.google.com/search?q=how to make crispy tofu,how to make crispy tofu,Q,ideas/options,learn,action,,,
109,Week 2,https://www.google.com/search?q=how to make crispy tofu,how to make crispy tofu,Q,ideas/options,learn,action,,,
109,Week 2,https://www.google.com/search?q=making stir fry noodles,making stir fry noodles,Q,ideas/options,option seeking,plan,,,
109,Week 2,https://www.google.com/search?q=making stir fry noodles healthy,making stir fry noodles healthy,Q,ideas/options,option seeking,plan,,,
109,Week 2,https://www.google.com/search?q=making stir fry noodles,making stir fry noodles,Q,ideas/options,option seeking,plan,,,
109,Week 2,https://www.google.com/search?q=making stir fry noodles,making stir fry noodles,Q,ideas/options,option seeking,plan,,,
109,Week 2,https://www.google.com/search?q=making stir fry noodles,making stir fry noodles,Q,ideas/options,option seeking,plan,,,
109,Week 2,https://www.google.com/search?q=having motivation for the gym,having motivation for the gym,Q,how-to (psyc),barrier,motivational reasoning,,,
109,Week 2,https://www.google.com/search?q=alcohol consumption,alcohol consumption,Q,factual,learn,plan,,,
109,Week 2,https://www.google.com/search?q=alcohol consumption to weight loss,alcohol consumption to weight loss,Q,outcome,learn,decision making,,,
109,Week 2,https://www.google.com/search?q=alcohol consumption to weight loss,alcohol consumption to weight loss,Q,outcome,learn,decision making,,,
109,Week 2,https://www.google.com/search?q=alcohol consumption to weight loss,alcohol consumption to weight loss,Q,outcome,learn,decision making,,,
109,Week 2,https://www.google.com/search?q=does sitting at a desk make you fat,does sitting at a desk make you fat,Q,outcome,learn,decision making,,,
109,Week 2,https://www.google.com/search?q=does sitting at a desk make you fat,does sitting at a desk make you fat,Q,outcome,learn,decision making,,,
109,Week 2,https://www.google.com/search?q=does sitting at a desk make you fat,does sitting at a desk make you fat,Q,outcome,learn,decision making,,,
109,Week 2,https://www.google.com/search?q=does sitting at a desk make you fat,does sitting at a desk make you fat,Q,outcome,learn,decision making,,,
109,Week 2,https://www.google.com/search?q=walking around at corporate job,walking around at corporate job,Q,ideas/options,learn,decision making,,,
109,Week 2,https://www.google.com/search?q=walking around at corporate job,walking around at corporate job,Q,ideas/options,learn,decision making,,,
109,Week 2,https://www.google.com/search?q=pace of steps when losing weight,pace of steps when losing weight,Q,outcome,learn,decision making,,,
109,Week 2,https://www.google.com/search?q=pace of steps when losing weight,pace of steps when losing weight,Q,outcome,learn,decision making,,,
109,Week 2,https://www.google.com/search?q=pace of steps when losing weight,pace of steps when losing weight,Q,outcome,learn,decision making,,,
109,Week 2,https://www.google.com/search?q=pace of steps when losing weight,pace of steps when losing weight,Q,outcome,learn,decision making,,,
109,Week 2,https://www.google.com/search?q=how much sleep to lose weight,how much sleep to lose weight,Q,outcome,learn,plan,,,
109,Week 2,https://www.google.com/search?q=how much sleep to lose weight,how much sleep to lose weight,Q,outcome,learn,plan,,,
109,Week 2,https://www.google.com/search?q=how much sleep to lose weight,how much sleep to lose weight,Q,outcome,learn,plan,,,
109,Week 2,https://www.google.com/search?q=how to maintain sleep schedule,how to maintain sleep schedule,Q,how-to (procedural),learn,plan,,,
109,Week 2,https://www.google.com/search?q=how to take care of sleep schedule,how to take care of sleep schedule,Q,how-to (procedural),learn,plan,,,
109,Week 3,https://www.google.com/search?q=healthy crunchwrap supreme,healthy crunchwrap supreme,Q,ideas/options,option seeking,plan,,,
109,Week 3,https://www.google.com/search?q=how to lose weight fast,how to lose weight fast,Q,how-to (procedural),learn,plan,,,
109,Week 3,https://www.google.com/search?q=how to lose weight fast,how to lose weight fast,Q,how-to (procedural),learn,plan,,,
109,Week 3,https://www.google.com/search?q=how to lose weight fast without exercise,how to lose weight fast without exercise,Q,how-to (procedural),learn,plan,,,
109,Week 3,https://www.google.com/search?q=how to lose weight fast without exercise,how to lose weight fast without exercise,Q,how-to (procedural),learn,plan,,,
109,Week 3,https://www.google.com/search?q=406-250,406-250,Q,utility,logistics,action,,,
109,Week 3,https://www.google.com/search?q=how to lose college weight,how to lose college weight,Q,how-to (procedural),learn,plan,,,
109,Week 3,https://www.google.com/search?q=college meal prep,college meal prep,Q,ideas/options,option seeking,plan,,,
109,Week 3,https://www.google.com/search?q=college meal plan,college meal plan,Q,ideas/options,option seeking,plan,,,
109,Week 3,https://www.google.com/search?q=college meal plan for cooking and water consumption,college meal plan for cooking and water consumption,Q,ideas/options,option seeking,plan,,,
109,Week 3,https://www.google.com/search?q=college meal plan for cooking and water consumption,college meal plan for cooking and water consumption,Q,ideas/options,option seeking,plan,,,
109,Week 3,https://www.google.com/search?q=college meal plan for cooking and water consumption,college meal plan for cooking and water consumption,Q,ideas/options,option seeking,plan,,,
109,Week 3,https://www.google.com/search?q=college meal plan for cooking and water consumption,college meal plan for cooking and water consumption,Q,ideas/options,option seeking,plan,,,
109,Week 3,https://www.google.com/search?q=how to manage cortisol levels,how to manage cortisol levels,Q,how-to (procedural),learn,plan,,,
109,Week 3,https://www.google.com/search?q=are supplements needed for healthy lifestyle,are supplements needed for healthy lifestyle,Q,normative,evaluate,plan,,,
109,Week 3,https://www.google.com/search?q=are supplements needed for healthy lifestyle,are supplements needed for healthy lifestyle,Q,normative,evaluate,plan,,,
109,Week 3,https://www.google.com/search?q=are supplements needed for healthy lifestyle,are supplements needed for healthy lifestyle,Q,normative,evaluate,plan,,,
109,Week 3,https://www.google.com/search?q=are supplements needed for healthy lifestyle,are supplements needed for healthy lifestyle,Q,normative,evaluate,plan,,,
109,Week 3,https://www.google.com/search?q=which supplements help with weight loss,which supplements help with weight loss,Q,ideas/options,learn,decision making,,,
109,Week 3,https://www.google.com/search?q=which supplements help with weight loss in college students,which supplements help with weight loss in college students,Q,ideas/options,learn,decision making,,,
109,Week 3,https://www.google.com/search?q=which supplements help with weight loss in college students,which supplements help with weight loss in college students,Q,ideas/options,learn,decision making,,,
109,Week 3,https://www.google.com/search?q=which supplements help with weight loss in college students,which supplements help with weight loss in college students,Q,ideas/options,learn,decision making,,,
109,Week 3,https://www.google.com/search?q=which supplements help with weight loss in college students,which supplements help with weight loss in college students,Q,ideas/options,learn,decision making,,,
109,Week 3,https://www.google.com/search?q=which supplements help with weight loss in college students,which supplements help with weight loss in college students,Q,ideas/options,learn,decision making,,,
109,Week 3,https://www.google.com/search?q=which supplements help with weight loss in college students,which supplements help with weight loss in college students,Q,ideas/options,learn,decision making,,,
109,Week 3,https://www.google.com/search?q=face fat removal,face fat removal,Q,ideas/options,learn,plan,,,
109,Week 3,https://www.google.com/search?q=face fat weight loss,face fat weight loss,Q,ideas/options,learn,plan,,,
109,Week 3,https://www.google.com/search?q=face fat weight loss,face fat weight loss,Q,ideas/options,learn,plan,,,
109,Week 3,https://www.google.com/search?q=face fat weight loss,face fat weight loss,Q,ideas/options,learn,plan,,,
109,Week 3,https://www.google.com/search?q=ayurvedic health,ayurvedic health,Q,factual,learn,plan,,,
109,Week 3,https://www.google.com/search?q=ayurvedic health,ayurvedic health,Q,factual,learn,plan,,,
109,Week 3,https://www.google.com/search?q=ayurvedic health,ayurvedic health,Q,factual,learn,plan,,,
109,Week 3,https://www.google.com/search?q=are teas good for weight loss,are teas good for weight loss,Q,normative,evaluate,decision making,,,
109,Week 3,https://www.google.com/search?q=are teas good for weight loss,are teas good for weight loss,Q,normative,evaluate,decision making,,,
109,Week 3,https://www.google.com/search?q=tea health benefits,tea health benefits,Q,outcome,learn,motivational reasoning,,,
109,Week 3,https://www.google.com/search?q=tea health benefits,tea health benefits,Q,outcome,learn,motivational reasoning,,,
109,Week 3,https://www.google.com/search?q=tea health benefits,tea health benefits,Q,outcome,learn,motivational reasoning,,,
109,Week 3,https://www.google.com/search?q=tea health benefits,tea health benefits [10],Q,outcome,learn,motivational reasoning,,,
109,Week 3,https://www.google.com/search?q=tea health benefits,tea health benefits,Q,outcome,learn,motivational reasoning,,,
109,Week 3,https://www.google.com/search?q=45 - 28,45 - 28,Q,utility,logistics,action,,,
109,Week 3,https://www.google.com/search?q=uiuc payroll,uiuc payroll,Q,na,na,na,,,
109,Week 3,https://www.google.com/search?q=matcha wiki,matcha wiki,Q,factual,learn,plan,,,
109,Week 3,https://www.google.com/search?q=matcha wiki,matcha wiki,Q,factual,learn,plan,,,
109,Week 3,https://www.google.com/search?q=history of chai,history of chai,Q,factual,learn,plan,,,
109,Week 3,https://www.google.com/search?q=history of chai,history of chai,Q,factual,learn,plan,,,
109,Week 3,https://www.google.com/search?q=history of chai,history of chai,Q,factual,learn,plan,,,
109,Week 3,https://www.google.com/search?q=how chai differs from region,how chai differs from region,Q,factual,learn,plan,,,
109,Week 3,https://www.google.com/search?q=nepal tea,nepal tea,Q,factual,learn,plan,,,
109,Week 3,https://www.google.com/search?q=nepal tea,nepal tea,Q,factual,learn,plan,,,
109,Week 3,https://www.google.com/search?q=nepal tea,nepal tea,Q,factual,learn,plan,,,
109,Week 3,https://www.google.com/search?q=nepal tea,nepal tea,Q,factual,learn,plan,,,
109,Week 3,https://www.google.com/search?q=countries in south asia,countries in south asia,Q,na,learn,plan,,,
109,Week 3,https://www.google.com/search?q=nepal tea,nepal tea,Q,factual,learn,plan,,,
109,Week 3,https://www.google.com/search?q=1250-700,1250-700,Q,utility,logistics,action,,,
109,Week 3,https://www.linkedin.com/voyager/api/feed/updatesV2?q=feed,feed [0],Q,na,na,na,,,
109,Week 3,https://www.google.com/search?q=track and field uiuc coach,track and field uiuc coach,Q,factual,logistics,action,,,
109,Week 3,https://www.google.com/url?q=https://www.canva.com/design/DAGB8sRN0SU/iaTYPt4FkKYmJXDXjNce7w/edit?utm_content=DAGB8sRN0SU&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,https://www.canva.com/design/DAGB8sRN0SU/iaTYPt4FkKYmJXDXjNce7w/edit?utm_content=DAGB8sRN0SU&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,Q,na,na,na,,,
109,Week 3,https://www.google.com/url?q=https://www.canva.com/design/DAGB8sRN0SU/iaTYPt4FkKYmJXDXjNce7w/edit?utm_content=DAGB8sRN0SU&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,https://www.canva.com/design/DAGB8sRN0SU/iaTYPt4FkKYmJXDXjNce7w/edit?utm_content=DAGB8sRN0SU&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,Q,na,na,na,,,
109,Week 3,https://www.google.com/url?q=https://forms.gle/AdYh7rE4j4s3DbZL9,https://forms.gle/AdYh7rE4j4s3DbZL9,Q,na,na,na,,,
109,Week 3,https://www.google.com/url?q=https://forms.gle/AdYh7rE4j4s3DbZL9,https://forms.gle/AdYh7rE4j4s3DbZL9,Q,na,na,na,,,
109,Week 3,https://www.google.com/url?q=https://forms.gle/AdYh7rE4j4s3DbZL9,https://forms.gle/AdYh7rE4j4s3DbZL9,Q,na,na,na,,,
109,Week 3,https://www.google.com/url?q=https://forms.gle/AdYh7rE4j4s3DbZL9,https://forms.gle/AdYh7rE4j4s3DbZL9,Q,na,na,na,,,
